Symbol	Entrez Gene Name	Location	Type(s)	expressed in human macrophages	expressed in mouse macrophages	"Cell or tissue expression, human"	"Cell or tissue expression, mouse"
ATP5B	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	Cytoplasm	transporter	not known	J774 cell line (15698949)	"cervical cancer cell lines, B lymphocytes, HUVEC cells, hepatocytes, lung carcinoma, lung cell lines, plasma, tonsil, breast cancer cell lines, colon, embryonic cell lines, epithelial cell lines, germinal center, heart, heart tissue, kidney cell lines, leukemia cell lines, liver, mantle layer, mesenchymal stem cells, neural precursor cells, nucleus accumbens, tear, urine"	"heart, cerebral cortex, fibroblast cell lines, hippocampus, embryo, liver, blastocyst, bone marrow cell lines, brain, hematopoietic cell lines, macrophage cancer cell lines, skeletal muscle, striatum, Other"
ATP5C1	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"	Cytoplasm	transporter	not known	not known	"cervical cancer cell lines, leukemia cell lines, lung cell lines, ovarian cancer cell lines"	"renal medulla, brain"
ATP6V0D1	"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1"	Cytoplasm	transporter	not known	not known	neutrophils	fibroblast cell lines
ATP6V1B2	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"	Cytoplasm	transporter	not known	RAW264.7 cell line (11786555)	"cervical cancer cell lines, plasma cells, bone marrow, myeloma cell lines, neutrophils, plasma, tonsil"	"macrophage cancer cell lines, bone marrow cell lines, brain, cerebellum, fibroblast cell lines, hematopoietic cell lines, leukocyte cell lines"
ATP6V1E1	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"	Cytoplasm	transporter	not known	RAW264.7 cell line (11786555)	"brain, cervical cancer cell lines, kidney cell lines, urine"	"testis, epididymis, salivary gland, sperm, spermatids, fibroblast cell lines, kidney, seminiferous tubules, Sertoli cells, bone marrow, bone marrow cell lines, brain, fibrosarcoma cell lines, hematopoietic cell lines, leukocyte cell lines, liver, macrophage cancer cell lines, osteoclasts, secondary spermatocytes, spermatocytes, spermatogonia, spleen, Other"
BCAP31	B-cell receptor-associated protein 31	Cytoplasm	transporter	monocytes (12176896)	not known	"granulocytes, peripheral blood, colon cancer cell lines, dendritic cells, leukemia cell lines, cervical cancer cell lines, cord blood cells, B lymphocytes, T lymphocytes, fibroblast cell lines, hepatocytes, kidney cell lines, lung cell lines, monocyte-derived dendritic cells, monocytes"	"brain, hippocampal neurons, leukemia cell lines, liver"
BLVRA	biliverdin reductase A	Cytoplasm	enzyme	not known	not known	"cervical cancer cell lines, colon cancer cell lines, embryonic cell lines, epithelial cell lines, epithelial cells, keratinocyte cancer cell lines, kidney cell lines, plasma, prostate gland, Other"	"liver, endothelial cell lines"
CAPNS1	"calpain, small subunit 1"	Cytoplasm	peptidase	monocytes (19191907)	osteoclasts (16461769)	"white matter, lung cancer cell lines, cells, carcinoma cell lines, prefrontal cortex, melanoma metastases, red blood cells, brain, caudate nucleus, gastroduodenal artery, hepatoma cell lines, smooth muscle cells, vasculature, T lymphocytes, colon cancer cell lines, dermis, mammary gland, melanoma, neutrophils, non-small-cell lung cancer cells, small cell lung cancer cells, squamous cell carcinoma cell lines, tumor, PBMCs, astrocytes, blood platelets, bone marrow, cervical cancer cell lines, chronic lymphocytic leukemia B cells, chronic lymphocytic leukemia cells, embryonic cell lines, epidermis, epithelial cell lines, fibroblast-like synoviocytes, heart tissue, keratinocytes, kidney cell lines, knee, lung cell lines, lymph node, medium spiny neurons, mucosa, myeloma cell lines, peripheral blood, peripheral blood monocytes, peripheral blood neutrophils, phagocytes, plasma cells, pyloric antrum, skin cancer cell lines, subcutaneous tissue, synovial membrane, tear, urine, visceral cavity, Other"	"kidney, fibroblasts, bone marrow, brain, fibroblast cell lines, lens, osteoblasts, osteoclasts, stem cells, Other"
CD36	CD36 molecule (thrombospondin receptor)	Plasma Membrane	transmembrane receptor	"foam cells in atherosclerosis (17581812), lamina propria macrophages (15630445), monocyte-derived macrophages (14561735)"	"resident peritoneal macrophages (17404266), thioglycollate-elicited peritoneal macrophages (12796468), bone marrow derived macrophages (14512319), J774 cell line (11742878), RAW264.7 cell line (11953427), microglia (12684452)"	"blood platelets, leukemia cell lines, aorta, smooth muscle cells, macrophages, vastus lateralis muscle, monocyte-derived macrophages, endothelial cell lines, gonadal cell lines, melanoma cell lines, monocytes, skeletal muscle cells, PBMCs, adipose tissue, atherosclerotic lesion, bone marrow, brain, cervical cancer cell lines, endothelial cells, fibroblast-like synoviocytes, glioma, liver tissue, lymphoma cell lines, microglia, myofiber, peripheral blood monocytes, red blood cells, skin lesion, stromal cells, subcutaneous fat, synovial membrane, HUVEC cells, acute myeloid leukemia blast cells, adipocytes, astrocytes, blood, blood vessel, breast milk, colostrum, dermal cells, distal lung epithelial cells, epithelial cells, fibroblasts, fibrocytes, fibrous plaque, foreskin of penis, glioblastoma, hepatoma cell lines, intestine, lamina propria, leptomeningeal vessel, lung, lymphatic endothelial cells, microvascular endothelial cells, monocyte-derived dendritic cells, mononuclear leukocytes, pericytes, peripheral blood, reticulocytes, skeletal muscle, skin cell lines, slow-twitch muscle fibers, small intestine, stem cells"	"heart, liver, peritoneal macrophages, white adipose tissue, cardiomyocytes, fibroblast cell lines, liver tissue, microglia, brain, dendritic cells, eye, macrophage cancer cell lines, muscle, muscle cell lines, small intestine, aorta, bone marrow cell lines, colon, gastrocnemius, hematopoietic cell lines, leukocyte cell lines, lung, macrophages, mononuclear leukocytes, pigment cells, placenta, skeletal muscle, small intestine tissue, tongue, B lymphocytes, RPE cells, adipocytes, adipose tissue, bone marrow-derived macrophages, brown adipose tissue, ciliary body, circumvallate papillae, epididymis, foliate papillae, heart ventricle, hepatoma cell lines, intestinal villus, iris, leukemia cell lines, lung tissue, mammary gland tissue, naive B cells, soleus muscle, subcutaneous fat"
CLIC1	chloride intracellular channel 1	Nucleus	ion channel	not known	not known	"placenta, lymphoma cell lines, peripheral blood, placental tissue, trophoblast cells, urine, cervical cancer cell lines, cytotrophoblastic cells, dendritic cells, fibroblast-like synoviocytes, heart, kidney, knee, leukemia cell lines, liver, monocytes, pancreas, sputum, synovial membrane, tear, Other"	"hematopoietic cell lines, leukocyte cell lines, nervous tissue cell lines"
COX4I1	cytochrome c oxidase subunit IV isoform 1	Cytoplasm	enzyme	not known	not known	"cervical cancer cell lines, breast cancer cell lines, embryonic cell lines, epithelial cell lines, hepatoma cell lines, kidney cell lines, renal cortex, bone cancer cell lines, leukemia cell lines, brain cancer cell lines, calvaria, colon cancer cell lines, cortical tubule, fibroblast cell lines, liver, lung cell lines, lymphoma cell lines, muscle, myeloma cell lines, myofiber, neuroblastoma cell lines, osteoblasts, prostate cancer cell lines"	"brain, brown adipose tissue, leukocyte cell lines, B-lymphocyte derived cell lines, liver, cells, cerebral cortex, cingulate cortex of the cerebrum, dentate gyrus, entorhinal area, fibroblasts, granule cell layer, heart, hippocampal CA1 region, molecular layer of dentate gyrus, myocardium, myotube, nervous tissue cell lines, neuroblastoma cell lines, skin, soleus muscle, thalamus, Other"
COX5A (includes EG:12858)	cytochrome c oxidase subunit Va	Cytoplasm	enzyme	not known	not known	"cervical cancer cell lines, hepatoma cell lines, blood cells, bone cancer cell lines, brain, brain tissue, breast cancer cell lines, epithelial cells, fibroblast cell lines, heart tissue, leukemia cell lines, liver, liver tissue, lung cell lines, myofiber, prostate gland, skeletal muscle"	"brain, hindlimb, myotube, neuroblastoma cell lines, skeletal muscle, Other"
COX6C	cytochrome c oxidase subunit VIc	Cytoplasm	enzyme	not known	not known	"leukemia cell lines, cervical cancer cell lines, acute myeloid leukemia blast cells, bone cancer cell lines, bone marrow, brain cancer cell lines, fibroblast cell lines, hepatoma cell lines, liver, lung cell lines, memory T lymphocytes, myofiber, pancreas, tumor tissue"	neuroblastoma cell lines
CSTB	cystatin B (stefin B)	Cytoplasm	other	not known	not known	"neuroblastoma cell lines, bladder cancer cell lines, brain, bone cancer cell lines, epithelial cells, lung, lung adenocarcinoma, plasma, squamous-cell carcinoma, tear, tracheobronchial tissue, urine, urothelium, Other"	"embryonic tissue, extraembryonic visceral endoderm, hematopoietic cells, knee joint, saliva"
CTSB	cathepsin B	Cytoplasm	peptidase	"monocyte-derived macrophages (15192101), alveolar macrophages (9074757), monocytes (11304549)"	"bone marrow-derived macrophages (17947645), thioglycollate-elicited peritoneal macrophages (17947645), J774 cell line (11149929)"	"fibroblasts, breast, pancreas, kidney cell lines, breast cancer cell lines, cervical cancer cell lines, melanoma cell lines, neuroblastoma cell lines, acinar gland cells, brain cancer cell lines, breast cell lines, liver, minor salivary gland, pancreatic juice, peripheral blood, brain, colon cancer cell lines, endometrium, thyroid gland tissue, cholangiocarcinoma cell lines, duct cells, monocyte-derived macrophages, urine, B lymphocytes, T lymphoblasts, T lymphocytes, acinar duct, alveolar macrophages, astrocytes, blood, bone cancer cell lines, cerebrospinal fluid, chorion, clear-cell adenocarcinoma, cold thyroid nodule, colon, dendritic precursor cells, endometrioid carcinoma, epithelial tissue, hepatoma cell lines, left ventricle, macrophages, monocyte-derived dendritic cells, monocytes, mononuclear leukocytes, neurons, osteoblasts, pancreatic cancer cell lines, pancreatic duct, placenta, plasma, plasmacytoid precursor dendritic cells, prefrontal cortex, scar tissue, serous papillary carcinoma, small cell lung carcinoma, tear, Other"	"fibroblast cell lines, hepatoma cell lines, thyroid gland, lung, muscle cell lines, uterus, aorta, bone marrow cell lines, bone marrow-derived macrophages, cerebral cortex, cornea, ectoplacental cone, epithelial cells, epithelial tissue, hematopoietic cell lines, hippocampus, keratocytes, knee joint, leukocyte cell lines, liver, mammary gland, melanoma cell lines, mononuclear leukocytes, neurons, peritoneal macrophages, pituitary cancer cell lines, placenta, podocytes, pro-B lymphocytes, pyramidal neurons, submandibular gland, thyrocytes, thyroid follicle, uterine gland, Other"
CTSD	cathepsin D	Cytoplasm	peptidase	"monocytes (11304549), monocyte-derived macrophages (9665274)"	"bone marrow-derived macrophages (17947645), thioglycollate-elicited peritoneal macrophages (17947645), RAW264.7 cell line (12239176), J774 cell line (12151002)"	"breast cancer cell lines, colon cancer cell lines, cervical cancer cell lines, breast, fibroblasts, minor salivary gland, T lymphocytes, melanoma cell lines, prefrontal cortex, skin cell lines, dendritic cells, eccrine gland, sweat, brain, neurons, pancreatic adenocarcinoma, duct cells, epithelial cell lines, eye cell lines, peripheral blood, acinar gland cells, astrocytes, epithelial cells, kidney, monocytes, pancreatic tissue, plasma, semen, skin, skin lesion, stroma, urine, B lymphoblastoid cell lines, acute myeloid leukemia blast cells, bone marrow, breast cell lines, dendritic precursor cells, endometrial cancer cell lines, fibroblast-like synoviocytes, granular layer of epidermis, hepatoma cell lines, knee, lymphoblastoid cell lines, lymphoma cell lines, macrophages, mast cells, monocyte-derived dendritic cells, monocyte-derived macrophages, nipple aspirate fluid, pancreas, placenta, plasmacytoid precursor dendritic cells, prostate cancer cell lines, sputum, stomach cancer cell lines, stratum corneum, synovial membrane, tear, thyroid gland tissue, uterine cancer cell lines, Other"	"hepatoma cell lines, astrocytes, brain, fibroblast cell lines, neural stem cells, neurons, bone marrow cell lines, hematopoietic cell lines, hepatocytes, leukocyte cell lines, bone marrow, bone marrow-derived macrophages, hippocampal CA1 region, lung, nervous tissue cell lines, aorta, cerebellum, cerebral cortex, cerebral neocortex, choroid plexus, cortical neurons, dendritic cells, epithelial tissue, femur, hippocampus, knee joint, liver cell lines, lumen, lung cancer cell lines, macrophage cancer cell lines, macrophages, mammary gland, mast cells, melanoma cell lines, mesenchyme, muscle cell lines, neuroglia, peritoneal macrophages, pyramidal neurons, submandibular gland, thyroid gland"
CTSS	cathepsin S	Cytoplasm	peptidase	"monocytes (11304549), monocyte-derived macrophages (15192101), alveolar macrophages (9074757)"	"thioglycollate-elicited peritoneal macrophages (10748235), RAW264.7 cell line (16365419), J774 cell line (11149929)"	"monocyte-derived macrophages, monocytes, neurons, plasma, smooth muscle cells, atherosclerotic lesion, blood vessel, monocyte-derived dendritic cells, myeloma cell lines, peripheral blood, HUVEC cells, adventitia, alveolar macrophages, antigen presenting cells, arteriole, astrocytes, blood, bone marrow, breast, cervical tissue, cervix, dendritic cells, dendritic precursor cells, giant cells, lymphoid tissue, lymphoma cell lines, macrophages, mantle cell lymphoma, plasma cells, plasmacytoid precursor dendritic cells, pyramidal neurons, smooth muscle, sputum, tumor tissue, vascular smooth muscle cells, Other"	"cerebral cortex, dendritic cells, macrophage cancer cell lines, brain, leukocyte cell lines, nervous tissue cell lines, splenocytes, lung, microglia, peritoneal macrophages, spinal cord, B-lymphocyte derived cell lines, aorta, bone marrow, bone marrow cell lines, cerebellum, cerebral neocortex, heart, heart ventricle, hematopoietic cell lines, hypothalamus, kidney, knee joint, lacrimal gland, liver, placenta, spleen, submandibular gland, thymus tissue, uterine tissue, white adipose tissue"
CTSZ	cathepsin Z	Cytoplasm	peptidase	not known	"thioglycollate-elicited peritoneal macrophages (10748235), J774 cell line (11149929) "	"HUVEC cells, PBMCs, cervical cancer cell lines, hair follicle, liver, lymphoma cell lines, plasma, scalp, tear, urine, Other"	"lung, bone marrow cell lines, cerebral cortex, epithelial tissue, hematopoietic cell lines, leukocyte cell lines, brain, cerebral neocortex, epithelial cell lines, knee joint, mammary gland, mesenchyme, myeloid progenitor cells, peritoneal macrophages"
CYBB	"cytochrome b-245, beta polypeptide"	Cytoplasm	enzyme	"monocytes (11241298), foam cells (12482831)"	"bone marrow-derived macrophages (18250155), microglia (15998743), J774 cell line (17560373), RAW264.7 cell line (17560373)"	"HUVEC cells, neutrophils, aorta, B-lymphocyte derived cell lines, brain, leukocyte cell lines, peripheral blood, fatty lesion, vascular smooth muscle cells, glioblastoma, monocytes, Resistance Artery, dendritic cells, endothelial cell lines, foam cells, macrophages, mononuclear leukocytes, tunica intima, T lymphoblasts, astrocytoma, blood, blood platelets, endothelial tissue, eosinophils, epithelial cells, fibroblast-like synoviocytes, hepatic stellate cells, knee, leukemia cell lines, lung, lymphoma cell lines, meningioma, microvessel, pulmonary artery, smooth muscle cells, synovial membrane, tracheobronchial tissue, tumor"	"aorta, mesencephalon, neurons, hematopoietic cell lines, leukocyte cell lines, spleen, dendritic cells, macrophage cancer cell lines, adventitia, bone marrow cell lines, bone marrow cells, fibroblasts, forebrain, implantation site, mesenteric artery, microglia, nervous tissue cell lines, neutrophils, rhombencephalon, uterus, bone marrow-derived macrophages, cardiomyocytes, colon, endothelial tissue, heart, heart tissue, heart ventricle, kidney, lung, pulmonary artery, substantia nigra pars compacta"
EEF1A1	eukaryotic translation elongation factor 1 alpha 1	Cytoplasm	translation regulator	"monocytes (10419873), monocyte-derived macrophages (9665274)"	"J774 cell line (11149929), RAW264.7 cell line (12384497)"	"prostate cancer cell lines, cervical cancer cell lines, colon cancer cell lines, skeletal muscle, breast cancer cell lines, breast cell lines, leukemia cell lines, HUVEC cells, pancreatic cancer cell lines, squamous cell carcinoma cell lines, B lymphocytes, Reed-Sternberg cells, bone marrow, bone marrow cell lines, bone marrow cells, brain tissue, breast carcinoma, breast milk, colorectal tissue, colostrum, dendritic cells, embryonic stem cells, endothelial cell lines, epithelial cells, esophageal tissue, fibroblast-like synoviocytes, heart tissue, hepatocytes, hepatoma cell lines, kidney cell lines, knee, liver, liver tissue, lung cancer cell lines, macrophages, mantle cell lymphoma cells, mesenchymal stem cells, neural precursor cells, neuroblastoma cell lines, neutrophils, pancreatic carcinoma, peripheral blood monocytes, plasma, prostatic carcinoma, skin, skin cancer cell lines, spleen tissue, stomach cancer cell lines, stromal cell lines, synovial membrane, tear, urine, Other"	"skeletal muscle, heart tissue, brain tissue, liver tissue, brain, fibroblast cell lines, bone marrow cell lines, hematopoietic cell lines, muscle cell lines, astrocytes, capillary vessel, cerebellum, embryonic cell lines, endothelial cells, erythroid cancer cell lines, kidney cell lines, leukocyte cell lines, macrophage cancer cell lines, neuroglia, spleen cell lines, spleen tissue, white matter, Other"
